RESPONDENTID,Main_P6a_Thich_Total_OE_1,Main_P6a_Thich_Total_OE_2,Main_P6a_Thich_Total_OE_3,Main_P6a_Thich_Total_OE_4,Main_P6a_Thich_Total_OE_5,Main_P6a_Thich_Total_OE_6,Main_P6a_Thich_Total_OE_7,Main_P6a_Thich_Y1_OE_1,Main_P6a_Thich_Y1_OE_2,Main_P6a_Thich_Y1_OE_3,Main_P6a_Thich_Y1_OE_4,Main_P6a_Thich_Y1_OE_5,Main_P6a_Thich_Y1_OE_6,Main_P6a_Thich_Y1_OE_7,Main_P6a_Thich_Y2_OE_1,Main_P6a_Thich_Y2_OE_2,Main_P6a_Thich_Y2_OE_3,Main_P6a_Thich_Y2_OE_4,Main_P6a_Thich_Y2_OE_5,Main_P6a_Thich_Y2_OE_6,Main_P6a_Thich_Y2_OE_7,Main_P6b_Khong_Thich_Total_OE_1,Main_P6b_Khong_Thich_Total_OE_2,Main_P6b_Khong_Thich_Total_OE_3,Main_P6b_Khong_Thich_Y1_OE_1,Main_P6b_Khong_Thich_Y1_OE_2,Main_P6b_Khong_Thich_Y1_OE_3,Main_P6b_Khong_Thich_Y2_OE_1,Main_P6b_Khong_Thich_Y2_OE_2,Main_P6b_Khong_Thich_Y2_OE_3,Main_P10a_Thich_Nuoc_dung_OE_1,Main_P10a_Thich_Nuoc_dung_OE_2,Main_P10a_Thich_Nuoc_dung_OE_3,Main_P10a_Thich_Nuoc_dung_OE_4,Main_P10a_Thich_Nuoc_dung_OE_5,Main_P10a_Thich_Nuoc_dung_OE_6,Main_P10a_Thich_Nuoc_dung_OE_7,Main_P10b_Khong_Thich_Nuoc_dung_OE_1,Main_P10b_Khong_Thich_Nuoc_dung_OE_2,Main_P10b_Khong_Thich_Nuoc_dung_OE_3,Main_P10b_Khong_Thich_Nuoc_dung_OE_4,Main_P100a_Total_OE_1,Main_P100a_Total_OE_2,Main_P100a_Total_OE_3,Main_P100a_Total_OE_4,Main_P100a_Total_OE_5,Main_P100a_Total_OE_6,Main_P100a_Total_OE_7,Main_P100a_Y1_OE_1,Main_P100a_Y1_OE_2,Main_P100a_Y1_OE_3,Main_P100a_Y1_OE_4,Main_P100a_Y1_OE_5,Main_P100a_Y1_OE_6,Main_P100a_Y1_OE_7,Main_P100a_Y2_OE_1,Main_P100a_Y2_OE_2,Main_P100a_Y2_OE_3,Main_P100a_Y2_OE_4,Main_P100a_Y2_OE_5,Main_P100a_Y2_OE_6,Main_P100a_Y2_OE_7
2032_927,201,301,102,,,,,201,,,,,,,301,102,,,,,,99999,,,99999,,,99999,,,302,303,,,,,,311,314,,,702,705,,,,,,702,,,,,,,705,,,,,,
2033_732,201,301,401,102,,,,201,,,,,,,301,401,102,,,,,202,,,202,,,99999,,,102,303,204,,,,,302,,,,604,703,709,711,,,,604,,,,,,,703,709,711,,,,
2033_927,201,401,102,301,,,,201,401,102,,,,,301,,,,,,,99999,,,99999,,,99999,,,102,,,,,,,204,311,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2034_732,201,902,301,401,104,,,201,902,301,,,,,401,104,,,,,,99999,,,99999,,,99999,,,302,303,204,,,,,99999,,,,503,101,721,905,710,,,503,101,,,,,,721,905,710,,,,
2034_927,201,302,401,102,,,,201,302,,,,,,401,102,,,,,,99999,,,99999,,,99999,,,302,303,901,102,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2035_732,201,301,401,105,,,,201,,,,,,,301,401,105,,,,,99999,,,99999,,,99999,,,302,304,303,305,,,,99999,,,,702,705,,,,,,702,705,,,,,,99999,,,,,,
2035_927,201,301,401,104,,,,201,,,,,,,301,401,104,,,,,99999,,,99999,,,99999,,,302,304,305,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2036_732,201,902,301,402,901,105,,201,902,,,,,,301,402,901,105,,,,99999,,,99999,,,99999,,,302,303,202,204,206,102,,99999,,,,602,603,607,504,901,,,602,603,607,504,,,,901,,,,,,
2036_927,104,201,907,105,301,401,902,104,201,907,105,,,,301,401,902,,,,,902,,,902,,,99999,,,301,,,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2037_732,201,401,102,,,,,201,,,,,,,401,102,,,,,,99999,,,99999,,,99999,,,302,303,,,,,,203,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2037_927,301,401,102,,,,,301,,,,,,,401,102,,,,,,907,,,907,,,99999,,,302,907,,,,,,99999,,,,706,,,,,,,706,,,,,,,99999,,,,,,
2038_732,202,301,401,902,103,,,202,,,,,,,301,401,902,103,,,,99999,,,99999,,,99999,,,302,303,209,305,304,,,99999,,,,711,201,602,603,703,,,711,,,,,,,201,602,603,703,,,
2038_927,201,301,401,103,,,,201,,,,,,,301,401,103,,,,,99999,,,99999,,,99999,,,305,205,201,304,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2039_732,201,105,301,402,,,,201,105,,,,,,301,402,,,,,,99999,,,99999,,,99999,,,206,303,305,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2039_927,201,902,301,401,105,,,201,902,,,,,,301,401,105,,,,,99999,,,99999,,,99999,,,302,303,205,201,,,,99999,,,,706,704,904,,,,,706,704,,,,,,904,,,,,,
2040_732,201,103,301,401,,,,201,103,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,302,303,,,,,,99999,,,,702,705,602,603,,,,702,705,,,,,,602,603,,,,,
2040_927,202,301,102,,,,,202,,,,,,,301,102,,,,,,99999,,,99999,,,99999,,,305,304,201,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2041_732,201,301,401,102,,,,201,301,,,,,,401,102,,,,,,99999,,,99999,,,99999,,,302,303,102,202,206,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2041_927,201,301,401,102,,,,201,,,,,,,301,401,102,,,,,99999,,,99999,,,99999,,,302,303,309,,,,,99999,,,,702,705,601,201,301,,,702,705,601,,,,,201,301,,,,,
2042_732,105,907,201,301,401,,,105,907,,,,,,201,301,401,,,,,99999,,,99999,,,99999,,,302,303,203,352,,,,906,,,,607,702,705,,,,,607,702,705,,,,,99999,,,,,,
2042_927,201,102,301,401,,,,201,102,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,302,201,203,901,,,,906,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2043_732,201,301,402,105,,,,201,,,,,,,301,402,105,,,,,99999,,,99999,,,99999,,,101,203,206,303,,,,301,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2043_927,202,301,402,105,,,,202,,,,,,,301,402,105,,,,,99999,,,99999,,,99999,,,302,304,303,102,,,,99999,,,,803,202,,,,,,803,,,,,,,202,,,,,,
2044_732,201,103,301,401,,,,201,103,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,303,302,202,206,,,,102,,,,711,201,402,602,603,,,711,,,,,,,201,402,602,603,,,
2044_927,201,103,301,,,,,201,103,,,,,,301,,,,,,,402,,,402,,,99999,,,305,205,304,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2045_732,201,901,302,401,,,,201,901,,,,,,302,401,,,,,,101,,,101,,,99999,,,102,304,305,303,,,,901,203,,,101,201,720,803,,,,101,,,,,,,201,720,803,,,,
2045_927,901,401,,,,,,901,,,,,,,401,,,,,,,201,101,,201,101,,99999,,,305,304,,,,,,311,302,101,,99999,,,,,,,99999,,,,,,,99999,,,,,,
2046_732,201,301,401,105,,,,201,,,,,,,301,401,105,,,,,99999,,,99999,,,99999,,,102,303,304,204,,,,99999,,,,702,709,602,604,301,504,101,702,709,602,604,301,,,504,101,,,,,
2046_927,901,201,,,,,,901,,,,,,,201,,,,,,,904,103,302,904,,,103,302,,102,203,,,,,,99999,,,,99999,,,,,,,99999,,,,,,,99999,,,,,,
