Q0a_RespondentID,Ma_SP,Main_P6a_Thich_Total_OE_1,Main_P6a_Thich_Total_OE_2,Main_P6a_Thich_Total_OE_3,Main_P6a_Thich_Total_OE_4,Main_P6a_Thich_Total_OE_5,Main_P6a_Thich_Total_OE_6,Main_P6a_Thich_Total_OE_7,Main_P6a_Thich_Y1_OE_1,Main_P6a_Thich_Y1_OE_2,Main_P6a_Thich_Y1_OE_3,Main_P6a_Thich_Y1_OE_4,Main_P6a_Thich_Y1_OE_5,Main_P6a_Thich_Y1_OE_6,Main_P6a_Thich_Y1_OE_7,Main_P6a_Thich_Y2_OE_1,Main_P6a_Thich_Y2_OE_2,Main_P6a_Thich_Y2_OE_3,Main_P6a_Thich_Y2_OE_4,Main_P6a_Thich_Y2_OE_5,Main_P6a_Thich_Y2_OE_6,Main_P6a_Thich_Y2_OE_7,Main_P6b_Khong_Thich_Total_OE_1,Main_P6b_Khong_Thich_Total_OE_2,Main_P6b_Khong_Thich_Total_OE_3,Main_P6b_Khong_Thich_Y1_OE_1,Main_P6b_Khong_Thich_Y1_OE_2,Main_P6b_Khong_Thich_Y1_OE_3,Main_P6b_Khong_Thich_Y2_OE_1,Main_P6b_Khong_Thich_Y2_OE_2,Main_P6b_Khong_Thich_Y2_OE_3,Main_P10a_Thich_Nuoc_dung_OE_1,Main_P10a_Thich_Nuoc_dung_OE_2,Main_P10a_Thich_Nuoc_dung_OE_3,Main_P10a_Thich_Nuoc_dung_OE_4,Main_P10a_Thich_Nuoc_dung_OE_5,Main_P10a_Thich_Nuoc_dung_OE_6,Main_P10a_Thich_Nuoc_dung_OE_7,Main_P10b_Khong_Thich_Nuoc_dung_OE_1,Main_P10b_Khong_Thich_Nuoc_dung_OE_2,Main_P10b_Khong_Thich_Nuoc_dung_OE_3,Main_P10b_Khong_Thich_Nuoc_dung_OE_4,Main_P100a_Total_OE_1,Main_P100a_Total_OE_2,Main_P100a_Total_OE_3,Main_P100a_Total_OE_4,Main_P100a_Total_OE_5,Main_P100a_Total_OE_6,Main_P100a_Total_OE_7,Main_P100a_Y1_OE_1,Main_P100a_Y1_OE_2,Main_P100a_Y1_OE_3,Main_P100a_Y1_OE_4,Main_P100a_Y1_OE_5,Main_P100a_Y1_OE_6,Main_P100a_Y1_OE_7,Main_P100a_Y2_OE_1,Main_P100a_Y2_OE_2,Main_P100a_Y2_OE_3,Main_P100a_Y2_OE_4,Main_P100a_Y2_OE_5,Main_P100a_Y2_OE_6,Main_P100a_Y2_OE_7
2036,1,201,902,301,402,901,105,,201,902,,,,,,301,402,901,105,,,,99999,,,99999,,,99999,,,302,303,202,204,206,102,,99999,,,,602,603,607,504,901,,,602,603,607,504,,,,901,,,,,,
2036,2,104,201,907,105,301,401,902,104,201,907,105,,,,301,401,902,,,,,902,,,902,,,99999,,,301,,,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2037,1,201,401,102,,,,,201,,,,,,,401,102,,,,,,99999,,,99999,,,99999,,,302,303,,,,,,203,,,,,,,,,,,,,,,,,,,,,,,,
2037,2,301,401,102,,,,,301,,,,,,,401,102,,,,,,907,,,907,,,99999,,,302,907,,,,,,99999,,,,706,,,,,,,706,,,,,,,99999,,,,,,
2038,1,202,301,401,902,103,,,202,,,,,,,301,401,902,103,,,,99999,,,99999,,,99999,,,302,303,209,305,304,,,99999,,,,711,201,602,603,703,,,711,,,,,,,201,602,603,703,,,
2038,2,201,301,401,103,,,,201,,,,,,,301,401,103,,,,,99999,,,99999,,,99999,,,305,205,201,304,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2039,1,201,105,301,402,,,,201,105,,,,,,301,402,,,,,,99999,,,99999,,,99999,,,206,303,305,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2039,2,201,902,301,401,105,,,201,902,,,,,,301,401,105,,,,,99999,,,99999,,,99999,,,302,303,205,201,,,,99999,,,,706,704,904,,,,,706,704,,,,,,904,,,,,,
2040,1,201,103,301,401,,,,201,103,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,302,303,,,,,,99999,,,,702,705,602,603,,,,702,705,,,,,,602,603,,,,,
2040,2,202,301,102,,,,,202,,,,,,,301,102,,,,,,99999,,,99999,,,99999,,,305,304,201,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2041,1,201,301,401,102,,,,201,301,,,,,,401,102,,,,,,99999,,,99999,,,99999,,,302,303,102,202,206,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2041,2,201,301,401,102,,,,201,,,,,,,301,401,102,,,,,99999,,,99999,,,99999,,,302,303,309,,,,,99999,,,,702,705,601,201,301,,,702,705,601,,,,,201,301,,,,,
2042,1,105,907,201,301,401,,,105,907,,,,,,201,301,401,,,,,99999,,,99999,,,99999,,,302,303,203,352,,,,906,,,,607,702,705,,,,,607,702,705,,,,,99999,,,,,,
2042,2,201,102,301,401,,,,201,102,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,302,201,203,901,,,,906,,,,,,,,,,,,,,,,,,,,,,,,
2043,1,201,301,402,105,,,,201,,,,,,,301,402,105,,,,,99999,,,99999,,,99999,,,101,203,206,303,,,,301,,,,,,,,,,,,,,,,,,,,,,,,
2043,2,202,301,402,105,,,,202,,,,,,,301,402,105,,,,,99999,,,99999,,,99999,,,302,304,303,102,,,,99999,,,,803,202,,,,,,803,,,,,,,202,,,,,,
2044,1,201,103,301,401,,,,201,103,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,303,302,202,206,,,,102,,,,711,201,402,602,603,,,711,,,,,,,201,402,602,603,,,
2044,2,201,103,301,,,,,201,103,,,,,,301,,,,,,,402,,,402,,,99999,,,305,205,304,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2045,1,201,901,302,401,,,,201,901,,,,,,302,401,,,,,,101,,,101,,,99999,,,102,304,305,303,,,,901,203,,,101,201,720,803,,,,101,,,,,,,201,720,803,,,,
2045,2,901,401,,,,,,901,,,,,,,401,,,,,,,201,101,,201,101,,99999,,,305,304,,,,,,311,302,101,,,,,,,,,,,,,,,,,,,,,,
2046,1,201,301,401,105,,,,201,,,,,,,301,401,105,,,,,99999,,,99999,,,99999,,,102,303,304,204,,,,99999,,,,702,709,602,604,301,504,101,702,709,602,604,301,,,504,101,,,,,
2046,2,901,201,,,,,,901,,,,,,,201,,,,,,,904,103,302,904,,,103,302,,102,203,,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2047,1,201,401,102,,,,,201,,,,,,,401,102,,,,,,99999,,,99999,,,99999,,,302,304,,,,,,303,,,,,,,,,,,,,,,,,,,,,,,,
2047,2,201,301,401,102,,,,201,,,,,,,301,401,102,,,,,99999,,,99999,,,99999,,,302,303,102,,,,,99999,,,,701,,,,,,,701,,,,,,,99999,,,,,,
2048,1,202,301,401,105,,,,202,,,,,,,301,401,105,,,,,99999,,,99999,,,99999,,,302,304,209,305,,,,99999,,,,705,604,608,,,,,705,,,,,,,604,608,,,,,
2048,2,201,301,401,105,,,,201,,,,,,,301,401,105,,,,,99999,,,99999,,,99999,,,302,201,,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2049,1,301,201,401,105,,,,301,,,,,,,201,401,105,,,,,99999,,,99999,,,99999,,,302,303,305,,,,,99999,,,,711,401,,,,,,711,,,,,,,401,,,,,,
2049,2,101,,,,,,,101,,,,,,,99999,,,,,,,401,201,,401,,,201,,,102,,,,,,,302,303,,,,,,,,,,,,,,,,,,,,,,,
2050,1,201,103,301,401,,,,201,103,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,302,303,305,304,206,,,99999,,,,201,504,706,704,,,,201,,,,,,,504,706,704,,,,
2050,2,105,202,301,401,,,,105,202,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,303,,,,,,,301,306,,,,,,,,,,,,,,,,,,,,,,,
2051,1,201,301,,,,,,201,,,,,,,301,,,,,,,102,,,102,,,99999,,,302,,,,,,,310,303,,,,,,,,,,,,,,,,,,,,,,,
2051,2,202,301,401,102,,,,202,,,,,,,301,401,102,,,,,99999,,,99999,,,99999,,,302,205,303,305,,,,99999,,,,701,605,,,,,,701,,,,,,,605,,,,,,
2052,1,202,301,401,104,,,,202,,,,,,,301,401,104,,,,,99999,,,99999,,,99999,,,302,303,202,206,204,,,901,,,,,,,,,,,,,,,,,,,,,,,,
2052,2,202,301,401,105,,,,202,,,,,,,301,401,105,,,,,99999,,,99999,,,99999,,,303,301,201,,,,,203,,,,502,711,702,705,,,,502,,,,,,,711,702,705,,,,
2053,1,201,901,301,401,,,,201,901,,,,,,301,401,,,,,,99999,,,99999,,,99999,,,302,303,901,,,,,99999,,,,702,705,201,101,,,,702,705,,,,,,201,101,,,,,
2053,2,201,401,102,301,,,,201,401,102,,,,,301,,,,,,,99999,,,99999,,,99999,,,302,303,305,901,,,,205,,,,,,,,,,,,,,,,,,,,,,,,
2054,1,104,201,302,401,,,,104,201,302,,,,,401,,,,,,,99999,,,99999,,,99999,,,102,303,304,,,,,210,,,,702,709,501,101,710,,,702,709,,,,,,501,101,710,,,,
2054,2,201,301,401,,,,,201,,,,,,,301,401,,,,,,103,,,103,,,99999,,,102,303,304,,,,,204,,,,,,,,,,,,,,,,,,,,,,,,
2055,1,201,907,301,401,103,,,201,907,,,,,,301,401,103,,,,,99999,,,99999,,,99999,,,302,303,305,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2055,2,201,902,301,401,907,103,,201,902,,,,,,301,401,907,103,,,,99999,,,99999,,,99999,,,201,205,301,307,,,,99999,,,,707,712,,,,,,707,712,,,,,,99999,,,,,,
2056,1,102,201,301,401,,,,102,,,,,,,201,301,401,,,,,99999,,,99999,,,99999,,,302,304,206,303,101,901,,99999,,,,711,602,,,,,,711,,,,,,,602,,,,,,
2056,2,102,201,301,401,,,,102,,,,,,,201,301,401,,,,,99999,,,99999,,,99999,,,901,201,303,304,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2057,1,103,907,301,,,,,103,907,,,,,,301,,,,,,,902,,,902,,,99999,,,302,102,303,350,,,,99999,,,,705,702,,,,,,705,702,,,,,,99999,,,,,,
2057,2,201,401,301,907,105,,,201,401,,,,,,301,907,105,,,,,99999,,,99999,,,99999,,,302,201,103,,,,,311,204,,,,,,,,,,,,,,,,,,,,,,,
2058,1,202,301,401,104,,,,202,,,,,,,301,401,104,,,,,99999,,,99999,,,99999,,,302,305,,,,,,301,,,,702,705,709,,,,,702,705,709,,,,,99999,,,,,,
2058,2,902,201,,,,,,902,,,,,,,201,,,,,,,902,904,104,902,904,,104,,,305,306,,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2059,1,201,,,,,,,201,,,,,,,99999,,,,,,,99999,,,99999,,,99999,,,302,206,303,305,,,,99999,,,,703,702,705,709,602,,,703,702,705,709,,,,602,,,,,,
2059,2,301,105,,,,,,301,,,,,,,105,,,,,,,99999,,,99999,,,99999,,,102,,,,,,,311,204,,,,,,,,,,,,,,,,,,,,,,,
2060,1,201,401,901,102,,,,201,401,,,,,,901,102,,,,,,99999,,,99999,,,99999,,,302,303,,,,,,99999,,,,702,705,602,604,,,,702,705,,,,,,602,604,,,,,
2060,2,201,102,301,401,,,,201,102,,,,,,301,401,,,,,,904,,,904,,,99999,,,302,206,102,906,,,,306,,,,,,,,,,,,,,,,,,,,,,,,
2061,1,201,105,301,401,,,,201,,,,,,,105,301,401,,,,,99999,,,99999,,,99999,,,302,304,303,207,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2061,2,201,103,301,401,,,,201,,,,,,,103,301,401,,,,,99999,,,99999,,,99999,,,302,205,303,305,102,,,99999,,,,605,201,712,,,,,605,,,,,,,201,712,,,,,
2062,1,201,401,402,301,102,,,201,401,402,,,,,301,102,,,,,,99999,,,99999,,,99999,,,102,202,303,,,,,99999,,,,603,701,,,,,,603,701,,,,,,99999,,,,,,
2062,2,201,302,102,,,,,201,,,,,,,302,102,,,,,,99999,,,99999,,,99999,,,201,205,301,307,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2063,1,201,103,301,401,,,,201,,,,,,,103,301,401,,,,,99999,,,99999,,,99999,,,302,303,209,,,,,211,,,,705,702,503,,,,,705,702,503,,,,,99999,,,,,,
2063,2,201,401,103,301,,,,201,401,,,,,,103,301,,,,,,99999,,,99999,,,99999,,,303,,,,,,,305,311,,,,,,,,,,,,,,,,,,,,,,,
2064,1,301,901,103,201,401,,,301,,,,,,,901,103,201,401,,,,99999,,,99999,,,99999,,,302,101,305,,,,,99999,,,,705,702,301,,,,,705,702,,,,,,301,,,,,,
2064,2,201,902,301,401,,,,201,902,,,,,,301,401,,,,,,101,,,101,,,99999,,,305,303,,,,,,99999,,,,,,,,,,,,,,,,,,,,,,,,
2065,1,201,901,401,103,,,,201,901,,,,,,401,103,,,,,,301,,,301,,,99999,,,302,206,204,102,901,,,305,303,,,,,,,,,,,,,,,,,,,,,,,
